feature,tabnet_mean_attention,rf_mean_importance
active,0.0557246953248977,0.005657710907486793
age_group,0.0548528358340263,0.035157484540789916
age_years,0.039115983992815,0.07803370318225339
alco,0.042142815887928,0.0016726197551180724
ap_hi,0.0535057410597801,0.2650126898719412
ap_lo,0.0520495697855949,0.1051476315928088
bmi,0.073711022734642,0.03899658912293873
bmi_group,0.0632341057062149,0.008180682432250315
bp_stage,0.048281293362379,0.18213678528419824
chol_high,,0.02221841973059941
cholesterol,0.0418418683111667,0.03889712413713623
cholesterol_category,0.0467486269772052,0.04013290167088505
gender,0.0523301772773265,0.0037913335540460088
gluc,0.0422179624438285,0.004175619759888444
gluc_high,,0.0026991303585558644
glucose_category,0.0617913864552974,0.004270835026801192
height,0.0589932315051555,0.019025951673396786
lifestyle_risk,0.0495994500815868,0.005670782795960892
overweight_flag,,0.004926909073530927
pulse_pressure,0.0584526881575584,0.10409495049680247
smoke,0.058670699596405,0.0021016246343002172
weight,0.0467311739921569,0.027998520398311022
