,id,age,gender,height,weight,ap_hi,ap_lo,cholesterol,gluc,smoke,alco,active,cardio,flag_ap_lo_gt_ap_hi,flag_ap_hi_high,flag_ap_lo_low,flag_ap_hi_negative,flag_ap_lo_negative,flag_bp_negative,flag_duplicate
count,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000.0,70000,70000,70000,70000,70000,70000,70000
unique,,,,,,,,,,,,,,2,2,2,2,2,2,1
top,,,,,,,,,,,,,,False,False,False,False,False,False,False
freq,,,,,,,,,,,,,,68766,69960,69941,69993,69999,69992,70000
mean,49972.4199,19468.865814285713,1.3495714285714286,164.35922857142856,74.20569,128.8172857142857,96.63041428571428,1.3668714285714285,1.226457142857143,0.08812857142857143,0.053771428571428574,0.8037285714285715,0.4997,,,,,,,
std,28851.30232317292,2467.251667241401,0.4768380155828639,8.210126364538038,14.39575667851138,154.01141945609137,188.47253029639026,0.6802503486993808,0.572270276613845,0.28348381676993517,0.22556770360410494,0.39717906350492826,0.5000034814661862,,,,,,,
min,0.0,10798.0,1.0,55.0,10.0,-150.0,-70.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,
25%,25006.75,17664.0,1.0,159.0,65.0,120.0,80.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,
50%,50001.5,19703.0,1.0,165.0,72.0,120.0,80.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,
75%,74889.25,21327.0,2.0,170.0,82.0,140.0,90.0,2.0,1.0,0.0,0.0,1.0,1.0,,,,,,,
max,99999.0,23713.0,2.0,250.0,200.0,16020.0,11000.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,
